Operateur;x;y;2G;3G;4G
20801;48.447492867548135;-4.618221914669328;1;1;1
20820;48.44505430483184;-4.613981815891423;1;1;1
20801;48.3779786785026;-4.6027639002634135;1;1;1
20815;48.44333148289804;-4.611680060889605;0;1;1
20810;48.38880278262541;-4.602406468752989;1;1;1
20815;48.38879642215288;-4.602364835123195;0;1;1
20820;48.27305923660264;-4.585282151040924;1;1;1
20801;48.27298845182043;-4.585258393455489;1;1;0
20810;48.27127717624494;-4.583616783624814;1;1;0
20815;48.27152071380926;-4.58362484769165;0;1;0
20810;48.56567431839334;-4.617207605660658;1;1;0
20820;48.56570117926145;-4.617211521855369;1;1;0
20815;48.52502626895667;-4.606183839926392;0;1;0
20820;48.525010956445115;-4.606140795218548;1;1;1
20801;48.17003081816252;-4.55276471422297;1;1;0
20810;48.37785080202523;-4.575624110166336;1;1;1
20801;48.37781033417108;-4.575550428488789;1;1;0
20801;48.020089373644154;-4.5226028060799806;1;1;1
20810;48.01997634128337;-4.5225328078122855;0;1;0
20820;48.01996823910767;-4.522518179148275;1;1;0
20815;48.019996825689965;-4.522495301495338;0;1;1
20801;48.3606555096224;-4.571038765387796;1;1;1
20810;48.43898967389339;-4.5820351258295755;1;1;0
20810;48.360777500807224;-4.563773229520793;1;1;1
20820;48.36083260472531;-4.563618423197753;1;1;1
20820;48.42972131822485;-4.571662650275295;1;1;1
20801;48.42982671476444;-4.5715692387523905;1;1;1
20820;48.46444240064207;-4.57028355287787;1;1;1
20801;48.016152325634174;-4.502626746099692;1;1;1
20815;48.42738035278004;-4.555694014505383;0;1;1
20801;48.42741789291296;-4.555672269040568;1;1;1
20801;48.37376264046616;-4.544591787908404;1;1;0
20801;48.46975986301386;-4.558209284014647;1;1;0
20801;48.41834725798998;-4.546136591209192;1;1;0
20810;48.418015535786715;-4.545953051139642;1;1;0
20801;48.22708104033939;-4.517234539206716;0;1;1
20801;48.58774575044491;-4.567601391410825;1;1;0
20820;48.58771079519387;-4.567582704869487;1;0;0
20801;48.38312320383724;-4.5375535236320665;0;1;1
20810;48.01796517985608;-4.481312953454203;1;1;0
20801;48.378070131949634;-4.532323165484338;1;1;0
20810;48.378047548908064;-4.532252089377239;1;1;1
20801;48.03278024592944;-4.481039992416079;1;1;0
20820;48.3852430898433;-4.53123686323556;1;1;1
20820;48.03268766077616;-4.480932534714084;1;1;0
20815;48.03276613953804;-4.480835835424116;0;1;1
20810;48.37138825262464;-4.52797241096049;1;1;1
20820;48.37986034675276;-4.526637973506538;1;1;1
20810;48.408887915536035;-4.5286480789504076;1;1;1
20801;48.38461989654118;-4.524987419421744;1;1;1
20820;48.388725573887925;-4.525373108088295;0;1;0
20820;48.386810795654895;-4.524786225323794;1;1;1
20815;48.38691601662125;-4.523417320413933;0;1;1
20810;48.386939919638785;-4.523325769339779;1;1;1
20801;48.39731107537641;-4.521543411327385;1;1;1
20810;48.247238783301064;-4.494783642037218;1;1;0
20815;48.24735693129922;-4.4947734180085535;0;1;1
20801;48.245193091075016;-4.492841196839453;1;1;1
20810;48.481976905128455;-4.5267373938382125;1;0;0
20820;48.383045045660914;-4.511953633143844;1;1;1
20810;48.38310989157335;-4.511786544875052;1;1;1
20815;48.38305147211342;-4.511710339162532;0;1;1
20820;48.40916023576805;-4.514990648500652;1;1;1
20815;48.4080583806269;-4.513841766697899;0;1;1
20801;48.40817781789185;-4.513668852908641;1;1;1
20801;48.38280260183034;-4.509938063552967;1;1;1
20810;48.572887421868195;-4.536117398398794;1;1;1
20801;48.388174410765195;-4.507464506873179;0;1;1
20810;48.439428754586;-4.514525078418776;1;1;1
20801;48.43950381905197;-4.514481518660306;1;1;0
20820;48.43949571826472;-4.514466774446512;1;1;1
20815;48.439496573109395;-4.514453314985693;0;1;1
20820;48.39193906475767;-4.5063887661585;1;1;1
20810;48.38252412829148;-4.504362740503498;1;1;1
20801;48.40448563015351;-4.507343941689842;1;1;1
20810;48.40447838232095;-4.5073157577842125;1;1;1
20801;48.392221468179905;-4.505357187543798;1;1;1
20810;48.391184273006985;-4.5051815788140095;1;1;1
20815;48.39127512336477;-4.505031749498213;0;1;1
20801;48.386927228507226;-4.503052612646773;1;0;0
20820;48.61083658058429;-4.5338965980246755;1;1;0
20801;48.56585651425653;-4.527301836037755;0;1;0
20801;48.27139051844329;-4.485081989074652;0;0;0
20820;48.385908863069346;-4.500871690974358;1;1;1
20820;48.24526783809599;-4.480280975156689;1;1;1
20801;48.38555278200614;-4.499219740462877;1;1;1
20801;48.41179151431417;-4.5018745522993475;1;1;0
20820;48.40224017079846;-4.499720467096577;1;1;1
20815;48.402338687318185;-4.499734561739411;0;1;1
20810;48.49049096519921;-4.50992099051962;1;1;0
20820;48.49054855611782;-4.509725327252852;1;1;0
20810;48.4097901348369;-4.4973800982038785;1;1;1
20815;48.409875003650505;-4.497324367477258;0;1;1
20801;48.578759356700694;-4.520908418291881;1;1;1
20815;48.39369602200878;-4.494223731454608;0;1;1
20801;48.38486519582838;-4.492676759601621;1;1;0
20810;48.39374462621287;-4.493742160970728;1;1;1
20820;47.98924774530241;-4.434237982774354;1;1;0
20815;47.98924859131326;-4.43422463637038;0;1;1
20801;48.40377243150752;-4.492800520441369;1;1;1
20810;47.98924505463473;-4.433995226965833;1;1;0
20810;48.403643204247096;-4.4927006138730246;1;1;1
20810;48.39072797619305;-4.490719312954709;1;1;1
20801;48.3903111808162;-4.4888822313289225;1;1;1
20820;48.39638520223434;-4.489722726266985;1;1;1
20801;48.39635875009136;-4.489569671307543;1;1;1
20820;48.38850795914131;-4.4882447738769375;0;0;1
20820;48.3913636220697;-4.487390674037124;1;1;1
20810;48.397203936008935;-4.488211202088823;1;1;1
20810;48.416298799025256;-4.490505179401513;1;1;1
20810;48.38677704838361;-4.485609618866291;1;1;0
20801;47.98620547239946;-4.427899109949995;1;1;0
20820;48.39133098450339;-4.485052112246646;1;0;0
20801;48.53838679178293;-4.505615703254544;1;1;0
20815;48.42442048257631;-4.489262935608707;0;1;0
20801;48.42445715861024;-4.489254599943672;1;1;1
20801;48.49962569001486;-4.499959857430784;1;1;0
20810;48.391819164065986;-4.483764874648491;1;1;1
20801;48.38856972845371;-4.4832739656747265;1;1;1
20820;48.388333388574395;-4.482724638822736;1;1;1
20801;48.39309170618503;-4.483078058249087;1;1;1
20815;48.397608220648365;-4.483682014687354;0;1;1
20810;48.397784757831914;-4.483462940379327;1;1;1
20820;48.39373223165605;-4.482667396273109;1;0;0
20801;48.39917413146821;-4.482643432979409;1;1;1
20815;48.571393981955254;-4.506939899982536;0;1;1
20820;48.57113004583866;-4.506684118276194;1;1;0
20801;48.39644106079075;-4.481276285089647;0;1;1
20810;48.396326331278004;-4.48123277262853;1;1;1
20820;48.41705990386975;-4.483907496243403;1;1;1
20820;48.39342785368565;-4.48047995068369;1;0;1
